,numero,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_operacionales_2018,ganancia_perdida_2018,total_activos_2018,total_pasivos_2018,total_patrimonio_2018,ingresos_operacionales_2017,ganancia_perdida_2017,total_activos_2017,total_pasivos_2017,total_patrimonio_2017,grupo_en_niif
0,1,899999068,ECOPETROL S.A,SUPERFINANCIERA,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extraccion de petroleo crudo,MINERO-HIDROCARBUROS,62579849000.0,11556405000.0,113761823000.0,56548216000.0,57213607000.0,49687082000.0,6620412000.0,107549026000.0,59650395000.0,47898631000.0,NIIF PLENAS-GRUPO 1
1,2,830095213,ORGANIZACIoN TERPEL S.A.,SUPERFINANCIERA,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4661 - Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,COMERCIO,14879440281.0,133741350.0,5488095686.0,3525498461.0,1962597225.0,12493256560.0,195281207.0,3863475148.0,2186212118.0,1677263030.0,NIIF PLENAS-GRUPO 1
2,3,900112515,REFINERIA DE CARTAGENA S.A.S.,SUPERSOCIEDADES,Costa Atlantica,BOLIVAR,CARTAGENA-BOLIVAR,C1921 - Fabricacion de productos de la refinacion del petroleo,MANUFACTURA,12919431000.0,-802449716.0,27881794581.0,9121543502.0,18760251079.0,9150339475.0,48094664.0,26779627629.0,8612363110.0,18167264519.0,NIIF PLENAS-GRUPO 1
3,4,890900608,ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas o tabaco,COMERCIO,11444486000.0,279403000.0,15663349000.0,8013609000.0,7649740000.0,11250922000.0,217713000.0,15962702000.0,8123134000.0,7839568000.0,NIIF PLENAS-GRUPO 1
4,5,890904996,EMPRESAS PuBLICAS DE MEDELLiN ESP,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,D3513- Distribucion de energia electrica,SERVICIOS,8966811000.0,2344822000.0,45595544000.0,22990219000.0,22605325000.0,7927149000.0,2188189000.0,39580960000.0,18082979000.0,21497981000.0,NIIF PLENAS-GRUPO 1
5,6,890100577,AEROVIAS DEL CONTINENTE AMERICANO S.A. - AVIANCA S.A.,SUPERFINANCIERA,Costa Atlantica,ATLANTICO,BARRANQUILLA-ATLANTICO,H5111 - Transporte aereo nacional de pasajeros,SERVICIOS,8747168806.0,268776958.0,17041050558.0,15112916822.0,1928133736.0,7702201203.0,49053417.0,14325211160.0,12682959730.0,1642251430.0,NIIF PLENAS-GRUPO 1
6,7,800153993,COMUNICACIoN CELULAR S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,J6120 - Actividades de telecomunicaciones inalambricas,SERVICIOS,8665791456.0,1042348556.0,14995953079.0,8965121564.0,6030831515.0,8438045879.0,-1070240411.0,12849498120.0,8044303638.0,4805194482.0,NIIF PLENAS-GRUPO 1
7,8,900156264,NUEVA EPS S.A.,SUPERSALUD,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,7014036645.61,79606005.49,3520168342.59,3258089409.69,262078932.9,5948906066.85,-93419634.6,2810740723.68,2650298149.28,160442574.41,NIIF PYMES-GRUPO 2
8,9,900531210,Cenit Transporte y Logistica de Hidrocarburos S.A.S.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,H4930 - Transporte por tuberias,SERVICIOS,6715702915.0,3575752687.0,16664862257.0,1776964635.0,14887897622.0,5780339354.0,2986273830.0,15514533239.0,1441865091.0,14072668148.0,NIIF PLENAS-GRUPO 1
9,10,890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,Costa Atlantica,ATLANTICO,BARRANQUILLA-ATLANTICO,G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas o tabaco,COMERCIO,6158207111.0,82594694.0,3992450101.0,2646443658.0,1346006443.0,5817994063.0,122963097.0,3809263758.0,2416481673.0,1392782085.0,NIIF PLENAS-GRUPO 1
10,11,800021308,DRUMMOND LTD,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0510 - Extraccion de hulla (carbon de piedra),MINERO-HIDROCARBUROS,6073369367.0,290939104.0,8333006622.0,2790031022.0,5542975600.0,5561593850.0,68011719.0,7931239677.0,2680487953.0,5250751724.0,NIIF PLENAS-GRUPO 1
11,12,860005224,Bavaria S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,C1103 - Produccion de malta elaboracion de cervezas y otras bebidas malteadas,MANUFACTURA,5947893316.0,2445403377.0,9440577820.0,5849861026.0,3590716794.0,5960451573.0,1843451021.0,9746982288.0,3583837302.0,6163144986.0,NIIF PLENAS-GRUPO 1
